w(1,0,0,0)
w(2,0,0,0)
w(3,0,0,0)
w(4,0,0,0)
w(5,0,0,0)
w(6,0,0,0)
w(7,0,0,0)
w(8,0,0,0)
w(9,0,0,0)
w(10,0,0,0)
w(9,1,1,1)
r(10,0,1,1)
w(3,1,2,2)
r(6,0,2,2)
w(3,2,3,3)
r(7,0,3,3)
w(10,1,4,4)
r(6,1,4,4)
w(8,1,5,5)
r(1,0,5,5)
w(7,1,6,6)
r(9,0,6,6)
w(10,2,7,7)
r(9,1,7,7)
w(4,1,8,8)
r(4,1,8,8)
w(8,2,9,9)
r(5,0,9,9)
w(1,1,10,10)
r(2,1,10,10)
w(2,1,11,11)
r(10,0,11,11)
w(3,3,12,12)
r(6,1,12,12)
w(1,2,13,13)
r(1,2,13,13)
w(2,2,14,14)
r(2,2,14,14)
w(7,2,15,15)
r(3,2,15,15)
w(2,3,16,16)
r(7,1,16,16)
w(10,3,17,17)
r(2,0,17,17)
w(10,4,18,18)
r(6,1,18,18)
w(4,2,19,19)
r(5,0,19,19)
w(6,1,20,20)
r(6,1,20,20)
